id,record_sha256,part,qualifies_80,full_detail,returns_percent,sources
V16-0d4fa599b7144278,7632c88d490de63b0066e71f4eb59d9dd713f61352ba04cf1c06d0d97b90ef32,records/part-0011.jsonl.gz,0,False,"{""worst_net"":25.99034416}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d5eb3450cc4ac50,855910df11150f1bae014eed46e1591154c918c92bc331ae0173261227155f4a,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":65.30585923,""regimes.BULL"":75.29357439,""regimes.SIDEWAYS"":75.7342522,""worst_net"":65.30585923}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d7f847b676dd415,14bafb822a81bda57089834cccea2c6f3587a45aa8279502d1635b9d108773b3,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":122.50010709,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.26333105,""worst_net"":88.26333105}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d817b9d6ef2a12c,86845bcc7a95f1945fa53ee98da46a694f991b8a235685b6a934a0782dfb3dd5,records/part-0011.jsonl.gz,0,False,"{""worst_net"":26.42202915}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d817b9d6ef2a12c,d1ac8a35240bec583e51a0b20511cfa9b27d58849950556e0f062e9c47e27e11,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":26.42202915,""regimes.BULL"":75.59535348,""regimes.SIDEWAYS"":75.3145133,""worst_net"":26.42202915}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d830d74c6c080b5,9d2566b713a96ce14ab4304eb996a6bd8ccba146b8176a5523b020bccb257329,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":91.96116587,""regimes.BULL"":77.38086292,""regimes.SIDEWAYS"":77.38086292,""worst_net"":77.38086292}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d9215865d7059f5,0b9cee993baa2c0e48d08fbd3a8eab0ebde510b2e5d38c516eae60fb4ac9c562,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d9215865d7059f5,ae1cae70925e870638e6374745cb1aec4f67962e1fedd0ae74e546a89a0bb135,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d97206ba1c4e73e,275d98cb333beba10fa99fd1594d91dedb509ff5be3202dc13b2bc3d4c42162c,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d97206ba1c4e73e,9b70a9fc65cc7de5b9322c46687007644654c56494f080ebfab00057ee88f6ab,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0da566d2c3d70bce,68bc9cb9b13c22ef6e4e4112eee3546b39623733d49109850ca00c4c2b7ed395,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":94.23175446,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":88.4140623}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0da741a21c31ec85,a2e3c4e46bf5f837e5ceeefaf7af3beca1d24c60b05abec5b6f033d1d9bd70a4,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":108.40781912,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":88.4140623}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0db3ba67671a0d60,bc14ba7b39dc28a225c85a87612adf3cadc4ba8fea2b018784c377c2d695deaa,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0db3ba67671a0d60,c9d6d315ce081f8e2099bfac3eb9710dd023821e0d7f952ef88958938df0cb37,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0db42198035d5a46,288ef187312c7da4684c0cd9dc3337c86a66a8165e439e1ac49d5a896fff1b70,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":27.83662315,""regimes.BULL"":33.90235641,""regimes.SIDEWAYS"":47.74554438,""worst_net"":27.83662315}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0db42198035d5a46,b008546574cd1dba5282c5971f9097712ee59e945c1ef497a1e38626472fe4f2,records/part-0011.jsonl.gz,0,False,"{""worst_net"":27.83662315}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0dca1b1926de4b4c,8789ceeec9ccbf624160e23712120958f6d713746b46f9b263e5cb34c09deae7,records/part-0011.jsonl.gz,0,False,"{""worst_net"":46.85337135}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0dca1b1926de4b4c,dbb18cea6f2b4b255e804988ad13738551af63ca47a9346383319bf558052a5c,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":83.4632301,""regimes.BULL"":46.85337135,""regimes.SIDEWAYS"":46.85337135,""worst_net"":46.85337135}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0dd271a1b6c256b6,2762f67fce6ad74f33851e8c5dbf9ca749d67c97f0c4d0998642052e4fea3fa4,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":109.04145257,""regimes.BULL"":42.30462012,""regimes.SIDEWAYS"":53.2225246,""worst_net"":42.30462012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0dd271a1b6c256b6,69f95da9ff19bcf65da3410850bbaa66b3675ab025cccf727de6ccb8de12e6eb,records/part-0011.jsonl.gz,0,False,"{""worst_net"":42.30462012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0dd289f602f3fd0d,39401a5b42bcac28406b8ad0121cfe2ac39391b6b33f8b194c4970a9330f48ee,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":50.03257579,""regimes.BULL"":21.66529024,""regimes.SIDEWAYS"":11.76471787,""worst_net"":11.76471787}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0dd289f602f3fd0d,b810384e056f68dc649c0a33217c4f05cf7560f47c4f0bebff2a1b750df46fd7,records/part-0011.jsonl.gz,0,False,"{""worst_net"":11.76471787}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0dd5589f4d2d27be,83e0f9b8b6d600f2b989f49cbbcd5054a22959b522ce8abca47794460cbddc1e,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":-14.76360704,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":-14.76360704}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0dd5589f4d2d27be,ed242eb6d41e09134ca8cd567e6a25752f0503368b71491b1f761db7a95e01c1,records/part-0011.jsonl.gz,0,False,"{""worst_net"":-14.76360704}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0de281cae7c15b7d,7595e21f9e425d2a22cfbd8019a621cade2abe8702f998af16678781cf9ec856,records/part-0011.jsonl.gz,0,False,"{""worst_net"":33.90235641}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0de281cae7c15b7d,990b649133a5771dc7bf82a8202250161ea6e0dad2f6a112e0a22001a4e92317,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":74.66044411,""regimes.BULL"":33.90235641,""regimes.SIDEWAYS"":40.71004227,""worst_net"":33.90235641}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0deb2f26e2842f21,7ca5646f26f19359bbee7e6a5d52afc701b7c2e2a0404bf2b3e5f30061018c35,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0deb2f26e2842f21,89f8c0083942e2eaac94a5629a3fbde7c2da6e2a96d69505b94e8d2f208aca52,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0decedc13fffdb09,624625ad123d38b504d279d5d77c59f2a1c58199eac053a14f9f1ce18af4e6e1,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
